name,type,w,h
(root)_glue_logic,StdCell,0.001,0.001
(multi_top)_glue_logic,StdCell,0.001,0.001
(multi_top/me)_glue_logic,StdCell,0.001,0.001
(multi_top/me/network)_glue_logic,StdCell,444.087,61.2996
multi_top/me/network/cce_lce_data_cmd_network/rof_0__fi2_efi3_coherence_network_channel_node,StdCell,538.71,177.774
multi_top/me/network/cce_lce_data_cmd_network/rof_1__efi2_fi9_coherence_network_channel_node,StdCell,258.331,269.937
(multi_top/me/network/cce_lce_data_cmd_network)_glue_logic,StdCell,0.001,0.001
multi_top/me/network/lce_cce_data_resp_network/rof_0__fi2_efi3_coherence_network_channel_node,StdCell,211.872,528.213
multi_top/me/network/lce_cce_data_resp_network/rof_1__efi2_fi7_coherence_network_channel_node,StdCell,471.356,167.337
(multi_top/me/network/lce_cce_data_resp_network)_glue_logic,StdCell,0.001,0.001
multi_top/me/network/lce_lce_tr_resp_network/rof_0__fi2_efi3_coherence_network_channel_node,StdCell,533.648,176.104
multi_top/me/network/lce_lce_tr_resp_network/rof_1__efi2_fi5_coherence_network_channel_node,StdCell,397.629,269.937
(multi_top/me/network/lce_lce_tr_resp_network)_glue_logic,StdCell,0.001,0.001
multi_top/rof1_0__core/fe_queue_fifo,StdCell,342.738,137.293
(multi_top/rof1_0__core)_glue_logic,StdCell,296.792,98.0546
multi_top/rof1_0__core/be/be_calculator,StdCell,589.425,194.51
(multi_top/rof1_0__core/be)_glue_logic,StdCell,46.3542,167.337
multi_top/me/genblk1_0__bp_cce_top/bp_cce/directory/wg_ram.macro_mem0.mem||multi_top/me/genblk1_0__bp_cce_top/bp_cce/directory/wg_ram.macro_mem1.mem,Macro,74.53,218.8
multi_top/me/genblk1_0__bp_cce_top/bp_cce/pc_inst_ram/cce_inst_ram/macro_mem/mem,Macro,135.14,139
multi_top/me/genblk1_0__bp_cce_top,StdCell,599.32,194.892
multi_top/rof1_0__core/fe/bp_fe_pc_gen_1/genblk1_branch_prediction_1/btb_1/btb_mem/macro_mem/mem,Macro,172.57,133.4
multi_top/rof1_0__core/fe/icache_1/metadata_mem.macro_mem.mem,Macro,30.64,56.4
multi_top/rof1_0__core/fe/icache_1/tag_mem.macro_mem.mem,Macro,74.53,109.4
multi_top/rof1_0__core/fe/icache_1/data_mem_banks_0__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_1__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_2__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_3__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_4__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_5__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_6__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_7__data_mem_bank/macro_mem/mem,Macro,690.28,266.8
multi_top/rof1_0__core/fe,StdCell,639.53,205.892
multi_top/rof1_0__core/be/be_mmu/dcache/stat_mem.macro_mem.mem,Macro,31.21,78.8
multi_top/rof1_0__core/be/be_mmu/dcache/tag_mem.macro_mem.mem,Macro,74.53,109.4
multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_0__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_1__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_2__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_3__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_4__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_5__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_6__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_7__data_mem/macro_mem/mem,Macro,690.28,266.8
multi_top/rof1_0__core/be/be_mmu,StdCell,427.658,427.675
