name,x,y,z,w,h
multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_0__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_1__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_2__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_3__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_4__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_5__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_6__data_mem/macro_mem/mem||multi_top/rof1_0__core/be/be_mmu/dcache/data_mem_7__data_mem/macro_mem/mem,10.07,745.713,0,690.28,266.8
multi_top/rof1_0__core/be/be_mmu,700.35,518.541,0,427.658,427.675
multi_top/rof1_0__core/be/be_calculator,84.6,11.2,0,589.425,194.51
multi_top/me/network/lce_lce_tr_resp_network/rof_1__efi2_fi5_coherence_network_channel_node,942.251,187.304,0,397.629,269.937
multi_top/me/network/lce_lce_tr_resp_network/rof_0__fi2_efi3_coherence_network_channel_node,674.025,11.2,0,533.648,176.104
multi_top/me/network/cce_lce_data_cmd_network/rof_1__efi2_fi9_coherence_network_channel_node,683.92,187.304,0,258.331,269.937
(multi_top/rof1_0__core)_glue_logic,1043.09,985.454,0,296.792,98.0546
multi_top/rof1_0__core/fe/bp_fe_pc_gen_1/genblk1_branch_prediction_1/btb_1/btb_mem/macro_mem/mem,10.07,587.8,0,172.57,133.4
multi_top/me/genblk1_0__bp_cce_top/bp_cce/directory/wg_ram.macro_mem0.mem||multi_top/me/genblk1_0__bp_cce_top/bp_cce/directory/wg_ram.macro_mem1.mem,10.07,11.2,0,74.53,218.8
(multi_top/rof1_0__core/be)_glue_logic,182.64,578.376,0,46.3542,167.337
multi_top/rof1_0__core/fe/icache_1/metadata_mem.macro_mem.mem,1207.67,11.2,0,30.64,56.4
(multi_top)_glue_logic,145.21,400.602,0,0.001,0.001
(multi_top/me)_glue_logic,84.601,205.71,0,0.001,0.001
(multi_top/me/network/cce_lce_data_cmd_network)_glue_logic,1207.67,67.6,0,0.001,0.001
(multi_top/me/network/lce_cce_data_resp_network)_glue_logic,683.92,187.304,0,0.001,0.001
(multi_top/me/network/lce_lce_tr_resp_network)_glue_logic,84.6,205.71,0,0.001,0.001
(root)_glue_logic,84.6,339.4,0,0.001,0.001
multi_top/rof1_0__core/fe/icache_1/data_mem_banks_0__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_1__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_2__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_3__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_4__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_5__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_6__data_mem_bank/macro_mem/mem||multi_top/rof1_0__core/fe/icache_1/data_mem_banks_7__data_mem_bank/macro_mem/mem,10.07,1012.51,0,690.28,266.8
multi_top/rof1_0__core/fe,700.35,1083.51,0,639.53,205.892
multi_top/me/genblk1_0__bp_cce_top,84.6,205.71,0,599.32,194.892
multi_top/me/network/lce_cce_data_resp_network/rof_0__fi2_efi3_coherence_network_channel_node,1128.01,457.241,0,211.872,528.213
multi_top/me/network/cce_lce_data_cmd_network/rof_0__fi2_efi3_coherence_network_channel_node,145.21,400.602,0,538.71,177.774
multi_top/me/network/lce_cce_data_resp_network/rof_1__efi2_fi7_coherence_network_channel_node,228.994,578.376,0,471.356,167.337
multi_top/rof1_0__core/fe_queue_fifo,700.35,946.215,0,342.738,137.293
(multi_top/me/network)_glue_logic,683.92,457.241,0,444.087,61.2996
multi_top/me/genblk1_0__bp_cce_top/bp_cce/pc_inst_ram/cce_inst_ram/macro_mem/mem,10.07,448.8,0,135.14,139.0
multi_top/rof1_0__core/be/be_mmu/dcache/tag_mem.macro_mem.mem,10.07,230.0,0,74.53,109.4
multi_top/rof1_0__core/fe/icache_1/tag_mem.macro_mem.mem,10.07,339.4,0,74.53,109.4
multi_top/rof1_0__core/be/be_mmu/dcache/stat_mem.macro_mem.mem,1238.31,11.2,0,31.21,78.8
B0,1019.1002807617188,0.0,0,0.0,0.0
B1,509.5501403808594,0.0,0,0.0,0.0
B2,0.0,0.0,0,0.0,0.0
