name,x,y,z,w,h
sb0,365.54932735539325,41.77706598347352,1,52.03076013282911,173.43586710943038
sb25,396.8821268429984,20.88853299173676,0,45.99565196841979,153.31883989473266
sb15,355.1050608595249,271.5509288925779,1,45.536798306424664,151.7893276880822
sb38,6.962844330578919,48.73991031405244,0,43.947696185351965,146.49232061783988
sb22,327.2536835372092,41.77706598347352,0,42.14261501141095,140.47538337136984
sb17,24.36995515702622,250.6623959008411,1,41.47529385067693,138.25097950225643
sb42,375.99359385126166,201.92248558678867,0,41.02438299353203,136.74794331177344
sb48,121.84977578513109,278.51377322315676,1,39.3674992855782,131.224997618594
sb18,80.07270980165757,104.44266495868379,0,38.88444419044716,129.61481396815722
sb13,316.80941704134085,17.407110826447298,1,37.14835124201342,123.82783747337807
sb20,66.14702114049973,309.8465727107619,0,35.76171136844544,119.20570456148481
sb28,177.55253042976244,27.851377322315678,0,33.888050991463054,112.96016997154352
sb5,69.62844330578919,281.99519538844623,1,33.37064578338274,111.23548594460914
sb49,73.10986547107865,142.73830877686785,1,32.918080138428486,109.72693379476162
sb11,233.2552850743938,313.3279948760514,0,32.12475680841802,107.08252269472673
sb37,198.4410634214992,153.18257527273622,0,30.687130853176875,102.29043617725625
sb9,254.14381806613056,27.851377322315678,0,28.73325599370875,95.77751997902917
sb12,80.07270980165757,31.332799487605136,1,26.04995201531089,86.83317338436963
sb1,414.2892376694457,327.2536835372092,1,24.665765749313355,82.21921916437785
sb2,372.5121716859722,55.702754644631355,0,24.347484469653125,81.15828156551042
sb41,167.10826393389408,240.21812940497273,1,23.030414672775652,76.76804890925217
sb46,421.25208200002464,62.66559897521027,1,22.449944320643645,74.83314773547882
sb32,229.77386290910434,198.4410634214992,1,22.396428286671068,74.65476095557023
sb40,111.40550928926271,31.332799487605136,0,16.75708805252273,55.85696017507576
sb14,222.81101857852542,59.184176809920814,0,15.059880477613362,50.199601592044544
sb35,17.407110826447298,261.10666239670945,0,49.81566018833836,166.05220062779455
sb21,268.0695067272884,111.40550928926271,1,46.294708120907295,154.31569373635764
sb27,107.92408712397325,24.36995515702622,1,45.743852045930716,152.47950681976906
sb4,306.36515054547243,264.5880845619989,1,45.4972526643093,151.65750888103102
sb44,181.03395259505191,62.66559897521027,1,43.439613257946945,144.79871085982316
sb39,229.77386290910434,167.10826393389408,0,41.36665323663494,137.88884412211647
sb30,281.99519538844623,45.25848814876298,0,39.52720582080145,131.75735273600483
sb36,135.77546444628894,139.25688661157838,0,39.3674992855782,131.224997618594
sb23,191.47821909092028,215.8481742479465,1,39.19183588453085,130.63945294843617
sb33,167.10826393389408,271.5509288925779,0,37.89986807364902,126.33289357883007
sb47,3.4814221652894597,87.0355541322365,1,35.2036929880943,117.34564329364768
sb7,334.21652786778816,285.4766175537357,0,35.04996433664377,116.83321445547924
sb29,114.88693145455217,281.99519538844623,0,33.298648621227855,110.99549540409285
sb43,135.77546444628894,10.44426649586838,0,32.72613634390714,109.08712114635715
sb31,278.51377322315676,184.51537476034136,0,31.946830828737923,106.48943609579308
sb8,125.33119795042055,174.071108264473,1,30.199337741083,100.66445913694334
sb19,278.51377322315676,292.4394618843146,0,27.820855486487112,92.73618495495704
sb3,407.3263933388668,348.142216528946,0,26.832815729997478,89.44271909999159
sb34,52.221332479341896,27.851377322315678,0,25.36138797463577,84.53795991545257
sb16,330.7351057024987,170.58968609918352,1,23.276597689524987,77.5886589650833
sb24,83.55413196694704,20.88853299173676,0,23.121418641597234,77.07139547199078
sb26,421.25208200002464,170.58968609918352,0,23.004347415216976,76.68115805072325
sb10,156.6639974380257,69.62844330578919,1,19.944924166313594,66.48308055437865
sb6,181.03395259505191,163.6268417686046,0,18.29754081837229,60.99180272790764
sb45,288.9580397190252,264.5880845619989,1,15.874507866387544,52.91502622129182
p1,0.0,0.0,0,0.0,0.0
p10,75.19872283935547,0.0,0,0.0,0.0
p100,445.6220703125,386.5771484375,0,0.0,0.0
p101,445.6220703125,394.93255615234375,0,0.0,0.0
p102,445.6220703125,403.2879638671875,0,0.0,0.0
p103,445.6220703125,411.64337158203125,0,0.0,0.0
p104,445.6220703125,419.998779296875,0,0.0,0.0
p105,445.6220703125,428.3542175292969,0,0.0,0.0
p106,445.6220703125,436.7096252441406,0,0.0,0.0
p107,436.7096252441406,445.6220703125,0,0.0,0.0
p108,428.3542175292969,445.6220703125,0,0.0,0.0
p109,419.998779296875,445.6220703125,0,0.0,0.0
p11,83.55413818359375,0.0,0,0.0,0.0
p110,411.64337158203125,445.6220703125,0,0.0,0.0
p111,403.2879638671875,445.6220703125,0,0.0,0.0
p112,394.93255615234375,445.6220703125,0,0.0,0.0
p113,386.5771484375,445.6220703125,0,0.0,0.0
p114,378.22174072265625,445.6220703125,0,0.0,0.0
p115,369.8663024902344,445.6220703125,0,0.0,0.0
p116,361.5108947753906,445.6220703125,0,0.0,0.0
p117,352.59844970703125,445.6220703125,0,0.0,0.0
p118,344.2430419921875,445.6220703125,0,0.0,0.0
p119,335.88763427734375,445.6220703125,0,0.0,0.0
p12,92.4665756225586,0.0,0,0.0,0.0
p120,327.5322265625,445.6220703125,0,0.0,0.0
p121,319.1767883300781,445.6220703125,0,0.0,0.0
p122,310.8213806152344,445.6220703125,0,0.0,0.0
p123,302.4659729003906,445.6220703125,0,0.0,0.0
p124,294.1105651855469,445.6220703125,0,0.0,0.0
p125,285.7551574707031,445.6220703125,0,0.0,0.0
p126,277.39971923828125,445.6220703125,0,0.0,0.0
p127,269.0443115234375,445.6220703125,0,0.0,0.0
p128,260.1318664550781,445.6220703125,0,0.0,0.0
p129,251.77645874023438,445.6220703125,0,0.0,0.0
p13,100.82199096679688,0.0,0,0.0,0.0
p130,243.42105102539062,445.6220703125,0,0.0,0.0
p131,235.06564331054688,445.6220703125,0,0.0,0.0
p132,226.71022033691406,445.6220703125,0,0.0,0.0
p133,218.3548126220703,445.6220703125,0,0.0,0.0
p134,209.9993896484375,445.6220703125,0,0.0,0.0
p135,201.64398193359375,445.6220703125,0,0.0,0.0
p136,193.28857421875,445.6220703125,0,0.0,0.0
p137,184.9331512451172,445.6220703125,0,0.0,0.0
p138,176.02072143554688,445.6220703125,0,0.0,0.0
p139,167.66529846191406,445.6220703125,0,0.0,0.0
p14,109.17740631103516,0.0,0,0.0,0.0
p140,159.3098907470703,445.6220703125,0,0.0,0.0
p141,150.9544677734375,445.6220703125,0,0.0,0.0
p142,142.59906005859375,445.6220703125,0,0.0,0.0
p143,134.24365234375,445.6220703125,0,0.0,0.0
p144,125.88822937011719,445.6220703125,0,0.0,0.0
p145,117.53282165527344,445.6220703125,0,0.0,0.0
p146,109.17740631103516,445.6220703125,0,0.0,0.0
p147,100.82199096679688,445.6220703125,0,0.0,0.0
p148,92.4665756225586,445.6220703125,0,0.0,0.0
p149,83.55413818359375,445.6220703125,0,0.0,0.0
p15,117.53282165527344,0.0,0,0.0,0.0
p150,75.19872283935547,445.6220703125,0,0.0,0.0
p151,66.84330749511719,445.6220703125,0,0.0,0.0
p152,58.48789596557617,445.6220703125,0,0.0,0.0
p153,50.13248062133789,445.6220703125,0,0.0,0.0
p154,41.777069091796875,445.6220703125,0,0.0,0.0
p155,33.421653747558594,445.6220703125,0,0.0,0.0
p156,25.066240310668945,445.6220703125,0,0.0,0.0
p157,16.710826873779297,445.6220703125,0,0.0,0.0
p158,8.355413436889648,445.6220703125,0,0.0,0.0
p159,0.0,445.6220703125,0,0.0,0.0
p16,125.88822937011719,0.0,0,0.0,0.0
p160,0.0,436.7096252441406,0,0.0,0.0
p161,0.0,428.3542175292969,0,0.0,0.0
p162,0.0,419.998779296875,0,0.0,0.0
p163,0.0,411.64337158203125,0,0.0,0.0
p164,0.0,403.2879638671875,0,0.0,0.0
p165,0.0,394.93255615234375,0,0.0,0.0
p166,0.0,386.5771484375,0,0.0,0.0
p167,0.0,378.22174072265625,0,0.0,0.0
p168,0.0,369.8663024902344,0,0.0,0.0
p169,0.0,361.5108947753906,0,0.0,0.0
