name,x,y,z,w,h
ex_stage_i/lsu_i,692.607,382.53,1,554.799,880.554
issue_stage_i/i_scoreboard,717.094,419.771,0,309.068,1027.83
csr_regfile_i,301.18,741.143,0,415.913,706.457
(i_cache_subsystem/i_nbdcache)_glue_logic,205.49,194.4,1,1144.79,188.13
(i_cache_subsystem)_glue_logic,625.825,382.53,1,66.7812,880.554
(root)_glue_logic,107.78,419.771,0,609.314,86.0507
(ex_stage_i)_glue_logic,301.18,505.822,0,415.913,98.0702
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_0,1350.28,739.8,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_1,498.62,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_2,1350.28,73.2,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_3,10.07,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_0,1350.28,497.4,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_2,1350.28,255.0,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__tag_sram.genblk1_0__i_ram.macro_mem_2,791.75,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_1,694.04,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_3,400.91,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_1,205.49,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_3,10.07,436.8,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_0,1350.28,558.0,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_2,10.07,133.8,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_0,1182.59,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_2,1350.28,861.0,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__tag_sram.genblk1_0__i_ram.macro_mem_0,107.78,12.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__tag_sram.genblk1_0__i_ram.macro_mem_2,1350.28,436.8,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_3__data_sram/genblk1_0__i_ram/macro_mem_1,10.07,1229.24,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_3__data_sram/genblk1_0__i_ram/macro_mem_3,1350.28,800.4,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_3__data_sram/genblk1_1__i_ram/macro_mem_1,10.07,315.6,0,97.71,60.6
i_cache_subsystem/i_icache/sram_block_3__data_sram/genblk1_1__i_ram/macro_mem_3,1350.28,1042.8,0,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_0,791.751,1387.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_2,694.04,12.6,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_0,205.492,73.2,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_2,1182.59,1387.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_0__tag_sram.genblk1_0__i_ram.macro_mem_0,205.491,1387.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_0,596.332,73.2,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_2,10.07,1292.89,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_0,1350.28,1164.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_2,400.911,1323.68,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__tag_sram.genblk1_0__i_ram.macro_mem_0,10.07,133.8,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_1__tag_sram.genblk1_0__i_ram.macro_mem_2,10.07,1353.49,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_1,889.462,73.2,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_3,107.78,255.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_1,498.621,1387.0,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_3,1350.28,436.8,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_2__tag_sram.genblk1_0__i_ram.macro_mem_2,10.07,1232.29,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_3__data_sram/genblk1_0__i_ram/macro_mem_1,498.62,12.6,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_3__data_sram/genblk1_0__i_ram/macro_mem_3,1350.28,1285.2,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_3__data_sram/genblk1_1__i_ram/macro_mem_1,694.042,73.2,1,97.71,60.6
i_cache_subsystem/i_nbdcache/sram_block_3__data_sram/genblk1_1__i_ram/macro_mem_3,107.78,194.4,1,97.71,60.6
